Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","13/04/2023 07:07 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=oEJg1s
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,"2022,2012"
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2022,Mexico,MEX,-,-,16224,115723,-
2022,"Marshall Islands",MHL,-,-,6,5,-
2022,Mali,MLI,-,-,200471,21371,-
2022,Malaysia,MYS,-,-,1253,20785,-
2022,Malawi,MWI,-,-,531,1975,-
2022,Montenegro,MNE,-,-,616,865,-
2022,Mongolia,MNG,-,-,2412,4657,-
2022,Morocco,MAR,-,-,8523,13700,-
2022,Mozambique,MOZ,-,-,104,8754,-
2022,Malta,MLT,-,-,0,15,-
2022,Mauritius,MUS,-,-,202,378,-
2022,Myanmar,MMR,-,-,1209086,50005,-
2022,Namibia,NAM,-,-,281,1178,-
2022,Nepal,NPL,-,-,7362,11683,-
2022,Netherlands,NLD,-,-,48,111,-
2022,Niger,NER,-,-,17280,3764,-
2022,Nicaragua,NIC,-,-,12481,224502,-
2022,Nigeria,NGA,-,-,400633,88084,-
2022,Niue,NIU,-,-,9,5,-
2022,Norway,NOR,-,-,10,16,-
2022,Nauru,NRU,-,-,5,16,-
2022,"New Zealand",NZL,-,-,41,37,-
2022,Oman,OMN,-,-,59,74,-
2022,Pakistan,PAK,-,-,123218,58244,-
2022,Panama,PAN,-,-,124,742,-
2022,Paraguay,PRY,-,-,138,1101,-
2022,Peru,PER,-,-,3848,14482,-
2022,Philippines,PHL,-,-,546,5539,-
2022,"Papua New Guinea",PNG,-,-,531,618,-
2022,Poland,POL,-,-,953,1025,-
2022,Portugal,PRT,-,-,28,533,-
2022,Qatar,QAT,-,-,41,53,-
2022,Romania,ROU,-,-,2283,5238,-
2022,"South Africa",ZAF,-,-,740,3462,-
2022,"Russian Federation",RUS,-,-,75851,49384,-
