Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","06/04/2023 14:28 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=15Eqwr
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2022,Egypt,EGY,"Russian Federation",RUS,5,0,-
2022,Egypt,EGY,"Saudi Arabia",SAU,0,24,-
2022,Egypt,EGY,Somalia,SOM,0,5,-
2022,Egypt,EGY,Spain,ESP,113,205,-
2022,Egypt,EGY,Sudan,SDN,18,11,-
2022,Egypt,EGY,Slovakia,SVK,18,0,-
2022,Egypt,EGY,Slovenia,SVN,0,5,-
2022,Egypt,EGY,Sweden,SWE,424,127,-
2022,Egypt,EGY,Switzerland,CHE,22,12,-
2022,Egypt,EGY,"Syrian Arab Rep.",SYR,31,16,-
2022,Egypt,EGY,Thailand,THA,17,0,-
2022,Egypt,EGY,Tunisia,TUN,0,15,-
2022,Egypt,EGY,"United Arab Emirates",ARE,5,7,-
2022,Egypt,EGY,Uganda,UGA,8,5,-
2022,Egypt,EGY,Ukraine,UKR,5,6,-
2022,Egypt,EGY,Uruguay,URY,0,6,-
2022,Egypt,EGY,"United States of America",USA,13909,9501,-
2022,Egypt,EGY,Yemen,YEM,18,8,-
2022,Argentina,ARG,Australia,AUS,0,27,-
2022,Argentina,ARG,"Bolivia (Plurinational State of)",BOL,13,0,-
2022,Argentina,ARG,Brazil,BRA,6,153,-
2022,Argentina,ARG,Canada,CAN,15,64,-
2022,Argentina,ARG,"Costa Rica",CRI,0,50,-
2022,Argentina,ARG,France,FRA,12,6,-
2022,Argentina,ARG,"United Kingdom of Great Britain and Northern Ireland",GBR,0,32,-
2022,Argentina,ARG,Germany,DEU,18,19,-
2022,Argentina,ARG,Ireland,IRL,0,5,-
2022,Argentina,ARG,Italy,ITA,14,52,-
2022,Argentina,ARG,"Rep. of Korea",KOR,0,8,-
2022,Argentina,ARG,Mexico,MEX,5,237,-
2022,Argentina,ARG,Netherlands,NLD,10,5,-
2022,Argentina,ARG,Paraguay,PRY,0,17,-
2022,Argentina,ARG,Peru,PER,0,15,-
2022,Argentina,ARG,Poland,POL,5,0,-
2022,Argentina,ARG,Spain,ESP,45,790,-
2022,Argentina,ARG,Sweden,SWE,0,5,-
2022,Argentina,ARG,Uruguay,URY,0,11,-
2022,Argentina,ARG,"United States of America",USA,21,579,-
2022,Armenia,ARM,Argentina,ARG,77,187,-
2022,Armenia,ARM,Austria,AUT,288,126,-
2022,Armenia,ARM,Belgium,BEL,325,238,-
2022,Armenia,ARM,Belarus,BLR,5,0,-
2022,Armenia,ARM,Brazil,BRA,5,10,-
2022,Armenia,ARM,Bulgaria,BGR,61,5,-
2022,Armenia,ARM,Canada,CAN,6,18,-
2022,Armenia,ARM,Cyprus,CYP,26,17,-
2022,Armenia,ARM,Czechia,CZE,19,6,-
2022,Armenia,ARM,Denmark,DNK,71,25,-
