objectid,iso3,gis_name,ref_conv_1951,ref_conv_1951_date,ref_prot_1967,ref_prot_1967_date,ref_conv_prot_note,sta_conv_1954,sta_conv_1954_date,sta_conv_1961,sta_conv_1961_date,sta_conv_prot_note,unhcr_region,region,subregion,code_op,excom,comments,globalid,region_pcode,m49code,short_name_en,short_name_sp,short_name_ar,short_name_fr,short_name_ru,short_name_ch,m49_region,m49_region_group,m49_sub_region,hcr3,color_code,territory,entity_last_update
91,CZE,Czechia,Active,737078400000,Active,737078400000,,Active,1090195200000,Active,1008720000000,,Regional Bureau for Europe,Europe,"Northern, Western, Central and Southern Europe",HUN RO ABC,Inactive,NA,{4578BDD2-7C6A-4089-B6FC-11AE11A90537},RBE,203,Czechia,Chequia,تشيكيا,Tchéquie,Чехия,捷克,Europe,,Eastern Europe,CZE,CZE,NA,1666109157000
59,AUT,Austria,Active,-478656000000,Active,116035200000,,Active,1202428800000,Active,85968000000,,Regional Bureau for Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,Inactive,NA,{59894899-D388-4F59-A4E0-F5513935E8D8},RBE,40,Austria,Austria,النمسا,Autriche,Австрия,奥地利,Europe,,Western Europe,AUS,AUT,NA,1666109157000
210,HND,Honduras,Active,701308800000,Active,701308800000,,Active,1349049600000,Active,1355788800000,,Regional Bureau for the Americas ,Americas,Latin America,PAN RO ABC,Inactive,NA,{BBEF8E28-185F-4B57-A2CD-1F19DC55119C},RBA,340,Honduras,Honduras,هندوراس,Honduras,Гондурас,洪都拉斯,Americas,Latin America and the Caribbean,Central America,HON,HND,NA,1666109157000
198,VNM,Viet Nam,Inactive,-2209161600000,Inactive,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,Inactive,NA,{28C88C39-EB40-44A4-8FD5-BD51275C73F2},RBAP,704,Viet Nam,Viet Nam,فييت نام,Viet Nam,Вьетнам,越南,Asia,,South-eastern Asia,SRV,VNM,NA,1666109157000
41,LUX,Luxembourg,Active,-518918400000,Active,41126400000,,Active,-300240000000,Active,1505952000000,,Regional Bureau for Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,Inactive,NA,{2C683ECC-B232-4AB2-A6CB-99B7637DA1F8},RBE,442,Luxembourg,Luxemburgo,لكسمبرغ,Luxembourg,Люксембург,卢森堡,Europe,,Western Europe,LUX,LUX,NA,1666109157000
17,DMA,Dominica,Active,761443200000,Active,761443200000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for the Americas ,Americas,North America and the Caribbean,USA RO ABC,Inactive,NA,{BEA60036-0B7A-453C-9ECF-A8AA4D9CBF82},RBA,212,Dominica,Dominica,دومينيكا,Dominique,Доминика,多米尼克,Americas,Latin America and the Caribbean,Caribbean,DMA,DMA,NA,1666109157000
205,NOR,Norway,Active,-529459200000,Active,-66096000000,,Active,-413942400000,Active,50716800000,,Regional Bureau for Europe,Europe,"Northern, Western, Central and Southern Europe",SWE RO ABC,Inactive,NA,{D98B9AD1-4B8C-4545-B0AC-F1B21DF2AD80},RBE,578,Norway,Noruega,النرويج,Norvège,Норвегия,挪威,Europe,,Northern Europe,NOR,NOR,NA,1666109157000
211,UZB,Uzbekistan,Inactive,-2209161600000,Inactive,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,Central Asia,KAZ RO ABC,Inactive,NA,{6E97B170-0DFE-4080-9EFC-1C535086A961},RBAP,860,Uzbekistan,Uzbekistán,أوزبكستان,Ouzbékistan,Узбекистан,乌兹别克斯坦,Asia,,Central Asia,UZB,UZB,NA,1666109157000
87,CHL,Chile,Active,65404800000,Active,73180800000,,Active,1523404800000,Active,1523404800000,,Regional Bureau for the Americas ,Americas,Latin America,ARG RO ABC,Inactive,NA,{EB9A2F28-B904-45A0-A511-B92D31CA6C11},RBA,152,Chile,Chile,شيلي,Chili,Чили,智利,Americas,Latin America and the Caribbean,South America,CHL,CHL,NA,1666109157000
29,IND,India,Inactive,-2209161600000,Inactive,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,South Asia,IND ABC,Inactive,NA,{A83E68E3-FD40-4762-8049-1D834502578F},RBAP,356,India,India,الهند,Inde,Индия,印度,Asia,,Southern Asia,IND,IND,NA,1666109157000
134,TCA,Turks and Caicos Islands (GBR),Active,-2209161600000,Active,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Europe,Americas,North America and the Caribbean,USA RO ABC,Inactive,NA,{ED60883B-449C-4B62-BAA5-F813173A5808},RBE,796,Turks and Caicos Islands,Islas Turcas y Caicos,جزر تركس وكايكوس,Îles Turques-et-Caïques,Острова Теркс и Кайкос,特克斯和凯科斯群岛,Americas,Latin America and the Caribbean,Caribbean,TCI,GBR,NA,1666109157000
215,CAN,Canada,Active,-18230400000,Active,-18230400000,,Inactive,-2209161600000,Active,269481600000,,Regional Bureau for the Americas ,Americas,North America and the Caribbean,CAN ABC,Inactive,NA,{3EF7BE4A-00E0-4280-B8E8-67C1A932826A},RBA,124,Canada,Canadá,كندا,Canada,Канада,加拿大,Americas,,Northern America,CAN,CAN,NA,1666109157000
184,MDV,Maldives,Inactive,-2209161600000,Inactive,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,Inactive,NA,{70835811-210E-4069-AC29-E9EF70E72079},RBAP,462,Maldives,Maldivas,ملديف,Maldives,Мальдивские Острова,马尔代夫,Asia,,Southern Asia,MDV,MDV,NA,1666109157000
93,MNE,Montenegro,Active,1160438400000,Active,1160438400000,,Active,1161561600000,Active,1386201600000,,Regional Bureau for Europe,Europe,South-Eastern Europe,BIH RO ABC,Inactive,NA,{A925C41A-301F-4101-835A-7544FE7CBF37},RBE,499,Montenegro,Montenegro,الجبل الأسود,Monténégro,Черногория,黑山,Europe,,Southern Europe,MNE,MNE,NA,1666109157000
218,NAM,Namibia,Active,792979200000,Active,792979200000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Southern Africa,Africa,Southern Africa,ZAF RO ABC,Inactive,NA,{C7CBC5CE-54A2-41B2-ADB3-4319C41EA953},RBSA,516,Namibia,Namibia,ناميبيا,Namibie,Намибия,纳米比亚,Africa,Sub-Saharan Africa,Southern Africa,NAM,NAM,NA,1666109157000
157,ARM,Armenia,Active,741916800000,Active,741916800000,,Active,769219200000,Active,769219200000,,Regional Bureau for Europe,Europe,Eastern Europe,GEO RO ABC,Inactive,NA,{F9B79398-B1FD-4F65-BA88-CDAFCAE33A58},RBE,51,Armenia,Armenia,أرمينيا,Arménie,Армения,亚美尼亚,Asia,,Western Asia,ARM,ARM,NA,1666109157000
82,ZAF,South Africa,Active,821404800000,Active,821404800000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Southern Africa,Africa,Southern Africa,ZAF RO ABC,Inactive,NA,{BBC2B648-63FD-4CB6-8B10-CC03C6D288B4},RBSA,710,South Africa,Sudáfrica,جنوب أفريقيا,Afrique du Sud,Южная Африка,南非,Africa,Sub-Saharan Africa,Southern Africa,RSA,ZAF,NA,1666109157000
99,ERI,Eritrea,Inactive,-2209161600000,Inactive,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,"Regional Bureau for the East and Horn of Africa, and Great Lakes",Africa,East and Horn of Africa,ERI ABC,Inactive,NA,{22D97FD8-BB42-4CA8-936F-9B3829ECFB49},RBEHAGL,232,Eritrea,Eritrea,إريتريا,Érythrée,Эритрея,厄立特里亚,Africa,Sub-Saharan Africa,Eastern Africa,ERT,ERI,NA,1666109157000
